endpoint,name,output_type,resolutions,duration_options,supports_768p,supports_2k,single_prompt_2k,historical_price,dated_page_evidence,verification
alibaba/wan-3.0/reference-to-video,万相3.0-参考生视频,video,480P|720P|1080P,auto|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30,False,False,excluded_no_2k,"{""status"":""no_public_price"",""note"":""官方公开定价文件无此端点条目""}",[],schema_verified
alibaba/wan-3.0-prime/image-to-video,万相3.0高速版-图生视频,video,480P|720P|1080P,auto|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30,False,False,excluded_no_2k,"{""status"":""no_public_price"",""note"":""官方公开定价文件无此端点条目""}",[],schema_verified
alibaba/wan-3.0-prime/reference-to-video,万相3.0高速版-参考生视频,video,480P|720P|1080P,auto|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30,False,False,excluded_no_2k,"{""status"":""no_public_price"",""note"":""官方公开定价文件无此端点条目""}",[],schema_verified
google/gemini-omni-1.1-flash/text-to-video,Gemini Omni 1.1 Flash 文生视频/稳定版 ,video,360p|720p|1080p|4k,,False,False,excluded_no_2k,"{""status"":""no_public_price"",""note"":""官方公开定价文件无此端点条目""}",[],schema_verified
google/gemini-omni-1.1-flash/reference-to-video,Gemini Omni 1.1 Flash 参考生视频/稳定版 ,video,360p|720p|1080p|4k,,False,False,excluded_no_2k,"{""status"":""no_public_price"",""note"":""官方公开定价文件无此端点条目""}",[],schema_verified
google/gemini-omni-1.1-flash/image-to-video,Gemini Omni 1.1 Flash 图生视频/稳定版,video,360p|720p|1080p|4k,,False,False,excluded_no_2k,"{""status"":""no_public_price"",""note"":""官方公开定价文件无此端点条目""}",[],schema_verified
minimax/hailuo-h3-max/text-to-video,MiniMax-H3-Max 文生视频,video,480P|768P,5|6|7|8|9|10|11|12|13|14|15,True,False,excluded_no_2k,"{""status"":""no_public_price"",""note"":""官方公开定价文件无此端点条目""}",[],schema_verified
minimax/hailuo-h3-max/image-to-video,MiniMax-H3-Max 图生视频（首尾帧）,video,480P|768P,5|6|7|8|9|10|11|12|13|14|15,True,False,excluded_no_2k,"{""status"":""no_public_price"",""note"":""官方公开定价文件无此端点条目""}",[],schema_verified
minimax/h3-max-turbo/text-to-video,MiniMax-H3-Max-Turbo 文生视频,video,480p|768p,5|6|7|8|9|10|11|12|13|14|15,True,False,excluded_no_2k,"{""status"":""no_public_price"",""note"":""官方公开定价文件无此端点条目""}",[],schema_verified
minimax/h3-max-turbo/image-to-video,MiniMax-H3-Max-Turbo 图生视频（首尾帧）,video,480p|768p,5|6|7|8|9|10|11|12|13|14|15,True,False,excluded_no_2k,"{""status"":""no_public_price"",""note"":""官方公开定价文件无此端点条目""}",[],schema_verified
google/gemini-omni-1.1-flash/video-edit,Gemini Omni 1.1 Flash 视频编辑/稳定版,video,360p|720p|1080p|4k,,False,False,excluded_no_2k,"{""status"":""no_public_price"",""note"":""官方公开定价文件无此端点条目""}",[],schema_verified
rhart-image-g-2.5-official-token/sunburst/text-to-image,gpt-image-2.5/sunburst/text-to-image/stable-token,image,1k|2k|4k,,False,True,not_video,"{""status"":""no_public_price"",""note"":""官方公开定价文件无此端点条目""}",[],schema_verified
