endpoint,name,output_type,resolutions,duration_options,supports_768p,supports_2k,single_prompt_2k,historical_price,dated_page_evidence,verification
vidu/start-end-to-video-q2-pro-fast,Vidu-首尾帧生视频-q2-pro-fast,video,720p|1080p,1|2|3|4|5|6|7|8,False,False,excluded_no_2k,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""parameter_based"",""depends_on"":[""resolution"",""duration""],""rules"":[{""when"":{""resolution"":""1080p"",""duration"":""1""},""price"":0.35},{""when"":{""resolution"":""1080p"",""duration"":""2""},""price"":0.44},{""when"":{""resolution"":""1080p"",""duration"":""3""},""price"":0.53},{""when"":{""resolution"":""1080p"",""duration"":""4""},""price"":0.62},{""when"":{""resolution"":""1080p"",""duration"":""5""},""price"":0.71},{""when"":{""resolution"":""1080p"",""duration"":""6""},""price"":0.8},{""when"":{""resolution"":""1080p"",""duration"":""7""},""price"":0.89},{""when"":{""resolution"":""1080p"",""duration"":""8""},""price"":0.98},{""when"":{""resolution"":""720p"",""duration"":""1""},""price"":0.18},{""when"":{""resolution"":""720p"",""duration"":""2""},""price"":0.23},{""when"":{""resolution"":""720p"",""duration"":""3""},""price"":0.28},{""when"":{""resolution"":""720p"",""duration"":""4""},""price"":0.33},{""when"":{""resolution"":""720p"",""duration"":""5""},""price"":0.38},{""when"":{""resolution"":""720p"",""duration"":""6""},""price"":0.43},{""when"":{""resolution"":""720p"",""duration"":""7""},""price"":0.48},{""when"":{""resolution"":""720p"",""duration"":""8""},""price"":0.53}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
rhart-audio/text-to-audio/speech-2.8-hd,minimax/speech-2.8-hd,audio,,,False,False,not_video,"{""currency"":""CNY"",""unit"":""/1000字符"",""pricing_type"":""fixed"",""depends_on"":null,""rules"":null,""price"":0.62,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
rhart-audio/text-to-audio/speech-02-hd,minimax/speech-02-hd,audio,,,False,False,not_video,"{""currency"":""CNY"",""unit"":""/1000字符"",""pricing_type"":""fixed"",""depends_on"":null,""rules"":null,""price"":0.31,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
rhart-audio/text-to-audio/speech-02-turbo,minimax/speech-02-turbo,audio,,,False,False,not_video,"{""currency"":""CNY"",""unit"":""/1000字符"",""pricing_type"":""fixed"",""depends_on"":null,""rules"":null,""price"":0.19,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
rhart-audio/text-to-audio/speech-2.6-hd,minimax/speech-2.6-hd,audio,,,False,False,not_video,"{""currency"":""CNY"",""unit"":""/1000字符"",""pricing_type"":""fixed"",""depends_on"":null,""rules"":null,""price"":0.62,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
rhart-audio/text-to-audio/speech-2.6-turbo,minimax/speech-2.6-turbo,audio,,,False,False,not_video,"{""currency"":""CNY"",""unit"":""/1000字符"",""pricing_type"":""fixed"",""depends_on"":null,""rules"":null,""price"":0.37,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
rhart-audio/text-to-audio/speech-2.8-turbo,minimax/speech-2.8-turbo,audio,,,False,False,not_video,"{""currency"":""CNY"",""unit"":""/1000字符"",""pricing_type"":""fixed"",""depends_on"":null,""rules"":null,""price"":0.37,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
kling-v3.0-std/text-to-video,可灵文生视频3.0-std,video,,3|4|5|6|7|8|9|10|11|12|13|14|15,False,False,excluded_no_2k,"{""currency"":""CNY"",""unit"":""/秒"",""pricing_type"":""parameter_based"",""depends_on"":[""sound""],""rules"":[{""when"":{""sound"":""false""},""price"":0.52},{""when"":{""sound"":""true""},""price"":0.78}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
kling-v3.0-std/image-to-video,可灵图生视频3.0-std,video,,3|4|5|6|7|8|9|10|11|12|13|14|15,False,False,excluded_no_2k,"{""currency"":""CNY"",""unit"":""/秒"",""pricing_type"":""parameter_based"",""depends_on"":[""sound""],""rules"":[{""when"":{""sound"":""false""},""price"":0.52},{""when"":{""sound"":""true""},""price"":0.78}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
kling-v3.0-pro/text-to-video,可灵文生视频3.0-pro,video,,3|4|5|6|7|8|9|10|11|12|13|14|15,False,False,excluded_no_2k,"{""currency"":""CNY"",""unit"":""/秒"",""pricing_type"":""parameter_based"",""depends_on"":[""sound""],""rules"":[{""when"":{""sound"":""false""},""price"":0.69},{""when"":{""sound"":""true""},""price"":1.04}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
kling-v3.0-pro/image-to-video,可灵图生视频3.0-pro,video,,3|4|5|6|7|8|9|10|11|12|13|14|15,False,False,excluded_no_2k,"{""currency"":""CNY"",""unit"":""/秒"",""pricing_type"":""parameter_based"",""depends_on"":[""sound""],""rules"":[{""when"":{""sound"":""false""},""price"":0.69},{""when"":{""sound"":""true""},""price"":1.04}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
rhart-video-g/image-to-video,全能视频X-图生视频-低价渠道版-v1.5,video,720p|480p,,False,False,excluded_no_2k,"{""currency"":""CNY"",""unit"":""/秒"",""pricing_type"":""fixed"",""depends_on"":null,""rules"":null,""price"":0.04,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
rhart-video-g/text-to-video,全能视频X-文生视频-低价渠道版-v1.5,video,720p|480p,,False,False,excluded_no_2k,"{""currency"":""CNY"",""unit"":""/秒"",""pricing_type"":""fixed"",""depends_on"":null,""rules"":null,""price"":0.04,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
hunyuan3d-v3.1/text-to-3d,混元文生3D模型v3.1,3d,,,False,False,not_video,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""parameter_based"",""depends_on"":[""generateType"",""enablePbr""],""rules"":[{""when"":{""generateType"":""Geometry"",""enablePbr"":""false""},""price"":1.8},{""when"":{""generateType"":""Geometry"",""enablePbr"":""true""},""price"":3.0},{""when"":{""generateType"":""Normal"",""enablePbr"":""false""},""price"":2.4},{""when"":{""generateType"":""Normal"",""enablePbr"":""true""},""price"":3.6},{""when"":{""generateType"":""Sketch"",""enablePbr"":""false""},""price"":3.0},{""when"":{""generateType"":""Sketch"",""enablePbr"":""true""},""price"":4.2}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
hunyuan3d-v3.1/image-to-3d,混元图生3D模型v3.1,3d,,,False,False,not_video,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""parameter_based"",""depends_on"":[""generateType"",""enablePbr""],""rules"":[{""when"":{""generateType"":""Geometry"",""enablePbr"":""false""},""price"":4.2},{""when"":{""generateType"":""Geometry"",""enablePbr"":""true""},""price"":5.4},{""when"":{""generateType"":""Normal"",""enablePbr"":""false""},""price"":4.8},{""when"":{""generateType"":""Normal"",""enablePbr"":""true""},""price"":6.0},{""when"":{""generateType"":""Sketch"",""enablePbr"":""false""},""price"":5.4},{""when"":{""generateType"":""Sketch"",""enablePbr"":""true""},""price"":6.6}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
kling-video-o3-std/text-to-video,可灵文生视频o3-std,video,,,False,False,excluded_no_2k,"{""currency"":""CNY"",""unit"":""/秒"",""pricing_type"":""parameter_based"",""depends_on"":[""sound""],""rules"":[{""when"":{""sound"":""false""},""price"":0.52},{""when"":{""sound"":""true""},""price"":0.69}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
kling-video-o3-pro/text-to-video,可灵文生视频o3-pro,video,,,False,False,excluded_no_2k,"{""currency"":""CNY"",""unit"":""/秒"",""pricing_type"":""parameter_based"",""depends_on"":[""sound""],""rules"":[{""when"":{""sound"":""false""},""price"":0.69},{""when"":{""sound"":""true""},""price"":0.87}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
kling-video-o3-std/image-to-video,可灵图生视频o3-std,video,,,False,False,excluded_no_2k,"{""currency"":""CNY"",""unit"":""/秒"",""pricing_type"":""parameter_based"",""depends_on"":[""sound""],""rules"":[{""when"":{""sound"":""false""},""price"":0.52},{""when"":{""sound"":""true""},""price"":0.69}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
kling-video-o3-pro/image-to-video,可灵图生视频o3-pro,video,,,False,False,excluded_no_2k,"{""currency"":""CNY"",""unit"":""/秒"",""pricing_type"":""parameter_based"",""depends_on"":[""sound""],""rules"":[{""when"":{""sound"":""false""},""price"":0.69},{""when"":{""sound"":""true""},""price"":0.87}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
vidu/text-to-video-q3-turbo,Vidu-文生视频-q3-turbo,video,540p|720p|1080p,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16,False,False,excluded_no_2k,"{""currency"":""CNY"",""unit"":""/秒"",""pricing_type"":""parameter_based"",""depends_on"":[""resolution""],""rules"":[{""when"":{""resolution"":""1080p""},""price"":0.35},{""when"":{""resolution"":""540p""},""price"":0.18},{""when"":{""resolution"":""720p""},""price"":0.27}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
vidu/image-to-video-q3-turbo,Vidu-图生视频-q3-turbo,video,540p|720p|1080p,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16,False,False,excluded_no_2k,"{""currency"":""CNY"",""unit"":""/秒"",""pricing_type"":""parameter_based"",""depends_on"":[""resolution""],""rules"":[{""when"":{""resolution"":""1080p""},""price"":0.35},{""when"":{""resolution"":""540p""},""price"":0.18},{""when"":{""resolution"":""720p""},""price"":0.27}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
vidu/start-end-to-video-q3-turbo,Vidu-首尾帧生视频-q3-turbo,video,540p|720p|1080p,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16,False,False,excluded_no_2k,"{""currency"":""CNY"",""unit"":""/秒"",""pricing_type"":""parameter_based"",""depends_on"":[""resolution""],""rules"":[{""when"":{""resolution"":""1080p""},""price"":0.35},{""when"":{""resolution"":""540p""},""price"":0.18},{""when"":{""resolution"":""720p""},""price"":0.27}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
vidu/start-end-to-video-q3-pro,Vidu-首尾帧生视频-q3-pro,video,540p|720p|1080p,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16,False,False,excluded_no_2k,"{""currency"":""CNY"",""unit"":""/秒"",""pricing_type"":""parameter_based"",""depends_on"":[""resolution""],""rules"":[{""when"":{""resolution"":""1080p""},""price"":0.7},{""when"":{""resolution"":""540p""},""price"":0.31},{""when"":{""resolution"":""720p""},""price"":0.66}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
rhart-audio/text-to-audio/music-2.5,minimax/music-2.5,audio,,,False,False,not_video,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""fixed"",""depends_on"":null,""rules"":null,""price"":0.8,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
kling-v2.6-std/motion-control,kling-v2.6-std-动作控制,video,,,False,False,excluded_no_2k,"{""currency"":""CNY"",""unit"":""/秒"",""pricing_type"":""fixed"",""depends_on"":null,""rules"":null,""price"":0.35,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
kling-v2.6-pro/motion-control,kling-v2.6-pro-动作控制,video,,,False,False,excluded_no_2k,"{""currency"":""CNY"",""unit"":""/秒"",""pricing_type"":""fixed"",""depends_on"":null,""rules"":null,""price"":0.56,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
rhart-audio/text-to-audio/voice-clone,minimax/voice-clone,audio,,,False,False,not_video,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""fixed"",""depends_on"":null,""rules"":null,""price"":3.12,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
rhart-video-v3.1-pro-official/text-to-video,全能视频V3.1-pro-文生视频-官方稳定版,video,720p|1080p|4k,4|6|8,False,False,excluded_no_2k,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""parameter_based"",""depends_on"":[""duration"",""generateAudio""],""rules"":[{""when"":{""duration"":""4"",""generateAudio"":""false""},""price"":4.7},{""when"":{""duration"":""4"",""generateAudio"":""true""},""price"":9.4},{""when"":{""duration"":""6"",""generateAudio"":""false""},""price"":7.04},{""when"":{""duration"":""6"",""generateAudio"":""true""},""price"":14.1},{""when"":{""duration"":""8"",""generateAudio"":""false""},""price"":9.4},{""when"":{""duration"":""8"",""generateAudio"":""true""},""price"":18.8}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
rhart-video-v3.1-pro-official/image-to-video,全能视频V3.1-pro-图生视频-官方稳定版,video,720p|1080p|4k,4|6|8,False,False,excluded_no_2k,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""parameter_based"",""depends_on"":[""duration"",""generateAudio""],""rules"":[{""when"":{""duration"":""4"",""generateAudio"":""false""},""price"":4.7},{""when"":{""duration"":""4"",""generateAudio"":""true""},""price"":9.4},{""when"":{""duration"":""6"",""generateAudio"":""false""},""price"":7.04},{""when"":{""duration"":""6"",""generateAudio"":""true""},""price"":14.1},{""when"":{""duration"":""8"",""generateAudio"":""false""},""price"":9.4},{""when"":{""duration"":""8"",""generateAudio"":""true""},""price"":18.8}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
rhart-video-v3.1-fast-official/text-to-video,全能视频V3.1-fast-文生视频-官方稳定版,video,720p|1080p|4k,4|6|8,False,False,excluded_no_2k,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""parameter_based"",""depends_on"":[""duration"",""generateAudio""],""rules"":[{""when"":{""duration"":""4"",""generateAudio"":""false""},""price"":2.35},{""when"":{""duration"":""4"",""generateAudio"":""true""},""price"":3.52},{""when"":{""duration"":""6"",""generateAudio"":""false""},""price"":3.52},{""when"":{""duration"":""6"",""generateAudio"":""true""},""price"":5.32},{""when"":{""duration"":""8"",""generateAudio"":""false""},""price"":4.7},{""when"":{""duration"":""8"",""generateAudio"":""true""},""price"":7.04}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
rhart-video-v3.1-pro-official/reference-to-video,全能视频V3.1-pro-参考生视频-官方稳定版,video,720p|1080p|4k,,False,False,excluded_no_2k,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""parameter_based"",""depends_on"":[""generateAudio""],""rules"":[{""when"":{""generateAudio"":""false""},""price"":9.4},{""when"":{""generateAudio"":""true""},""price"":18.8}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
rhart-video-v3.1-fast-official/video-extend,全能视频V3.1-fast-视频扩展-官方稳定版,video,720p|1080p,,False,False,excluded_no_2k,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""fixed"",""depends_on"":null,""rules"":null,""price"":6.56,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
rhart-video-v3.1-fast-official/image-to-video,全能视频V3.1-fast-图生视频-官方稳定版,video,720p|1080p|4k,4|6|8,False,False,excluded_no_2k,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""parameter_based"",""depends_on"":[""duration"",""generateAudio""],""rules"":[{""when"":{""duration"":""4"",""generateAudio"":""false""},""price"":2.35},{""when"":{""duration"":""4"",""generateAudio"":""true""},""price"":3.52},{""when"":{""duration"":""6"",""generateAudio"":""false""},""price"":3.52},{""when"":{""duration"":""6"",""generateAudio"":""true""},""price"":5.32},{""when"":{""duration"":""8"",""generateAudio"":""false""},""price"":4.7},{""when"":{""duration"":""8"",""generateAudio"":""true""},""price"":7.04}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
rhart-video-v3.1-pro-official/video-extend,全能视频V3.1-pro-视频扩展-官方稳定版,video,720p|1080p,,False,False,excluded_no_2k,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""fixed"",""depends_on"":null,""rules"":null,""price"":17.4,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
seedream-v5-lite/text-to-image,seedream-v5-lite-文生图,image,2k|3k,,False,True,not_video,"{""currency"":""CNY"",""unit"":""/张"",""pricing_type"":""fixed"",""depends_on"":null,""rules"":null,""price"":0.22,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
seedream-v5-lite/image-to-image,seedream-v5-lite-图生图,image,2k|3k,,False,True,not_video,"{""currency"":""CNY"",""unit"":""/张"",""pricing_type"":""fixed"",""depends_on"":null,""rules"":null,""price"":0.22,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
rhart-image-n-g31-flash/text-to-image,全能图片V2-文生图-低价渠道版,image,1k|2k|4k,,False,True,not_video,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""parameter_based"",""depends_on"":[""resolution""],""rules"":[{""when"":{""resolution"":""1k""},""price"":0.19},{""when"":{""resolution"":""2k""},""price"":0.19},{""when"":{""resolution"":""4k""},""price"":0.3}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
rhart-image-n-g31-flash/image-to-image,全能图片V2-图生图-低价渠道版,image,1k|2k|4k,,False,True,not_video,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""parameter_based"",""depends_on"":[""resolution""],""rules"":[{""when"":{""resolution"":""1k""},""price"":0.19},{""when"":{""resolution"":""2k""},""price"":0.19},{""when"":{""resolution"":""4k""},""price"":0.3}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
rhart-image-n-g31-flash-official/text-to-image,全能图片V2-文生图-官方稳定版,image,1k|2k|4k,,False,True,not_video,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""parameter_based"",""depends_on"":[""resolution""],""rules"":[{""when"":{""resolution"":""1k""},""price"":0.49},{""when"":{""resolution"":""2k""},""price"":0.74},{""when"":{""resolution"":""4k""},""price"":0.99}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
rhart-image-n-g31-flash-official/image-to-image,全能图片V2-图生图-官方稳定版,image,1k|2k|4k,,False,True,not_video,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""parameter_based"",""depends_on"":[""resolution""],""rules"":[{""when"":{""resolution"":""1k""},""price"":0.49},{""when"":{""resolution"":""2k""},""price"":0.74},{""when"":{""resolution"":""4k""},""price"":0.99}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
rhart-video-g-official/image-to-video,全能视频X-图生视频-官方稳定版,video,720p|480p,6|10,False,False,excluded_no_2k,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""parameter_based"",""depends_on"":[""duration""],""rules"":[{""when"":{""duration"":""10""},""price"":3.15},{""when"":{""duration"":""6""},""price"":1.89}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
rhart-video-g-official/text-to-video,全能视频X-文生视频-官方稳定版,video,720p|480p,6|10,False,False,excluded_no_2k,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""parameter_based"",""depends_on"":[""duration""],""rules"":[{""when"":{""duration"":""10""},""price"":3.15},{""when"":{""duration"":""6""},""price"":1.89}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
rhart-video-g-official/edit-video,全能视频X-编辑视频-官方稳定版,video,720p|480p,,False,False,excluded_no_2k,"{""currency"":""CNY"",""unit"":""/秒"",""pricing_type"":""fixed"",""depends_on"":null,""rules"":null,""price"":0.41,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
rhart-image-g-1.5-official/text-to-image,全能图片G-1.5-文生图-官方稳定版,image,,,False,False,not_video,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""parameter_based"",""depends_on"":[""quality"",""size""],""rules"":[{""when"":{""quality"":""high"",""size"":""1024*1024""},""price"":0.84},{""when"":{""quality"":""high"",""size"":""1024*1536""},""price"":1.26},{""when"":{""quality"":""high"",""size"":""1536*1024""},""price"":1.26},{""when"":{""quality"":""low"",""size"":""1024*1024""},""price"":0.06},{""when"":{""quality"":""low"",""size"":""1024*1536""},""price"":0.08},{""when"":{""quality"":""low"",""size"":""1536*1024""},""price"":0.08},{""when"":{""quality"":""medium"",""size"":""1024*1024""},""price"":0.21},{""when"":{""quality"":""medium"",""size"":""1024*1536""},""price"":0.32},{""when"":{""quality"":""medium"",""size"":""1536*1024""},""price"":0.32}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
rhart-image-g-1.5-official/image-to-image,全能图片G-1.5-图生图-官方稳定版,image,,,False,False,not_video,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""parameter_based"",""depends_on"":[""quality"",""size""],""rules"":[{""when"":{""quality"":""high"",""size"":""1024*1024""},""price"":0.84},{""when"":{""quality"":""high"",""size"":""1024*1536""},""price"":1.26},{""when"":{""quality"":""high"",""size"":""1536*1024""},""price"":1.26},{""when"":{""quality"":""high"",""size"":""auto""},""price"":0.84},{""when"":{""quality"":""low"",""size"":""1024*1024""},""price"":0.06},{""when"":{""quality"":""low"",""size"":""1024*1536""},""price"":0.08},{""when"":{""quality"":""low"",""size"":""1536*1024""},""price"":0.08},{""when"":{""quality"":""low"",""size"":""auto""},""price"":0.06},{""when"":{""quality"":""medium"",""size"":""1024*1024""},""price"":0.21},{""when"":{""quality"":""medium"",""size"":""1024*1536""},""price"":0.32},{""when"":{""quality"":""medium"",""size"":""1536*1024""},""price"":0.32},{""when"":{""quality"":""medium"",""size"":""auto""},""price"":0.21}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
kling-video-o3-std/video-edit,kling-video-o3-std/video-edit,video,,,False,False,excluded_no_2k,"{""currency"":""CNY"",""unit"":""/秒"",""pricing_type"":""fixed"",""depends_on"":null,""rules"":null,""price"":0.81,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
kling-video-o3-pro/video-edit,kling-video-o3-pro/video-edit,video,,,False,False,excluded_no_2k,"{""currency"":""CNY"",""unit"":""/秒"",""pricing_type"":""fixed"",""depends_on"":null,""rules"":null,""price"":1.08,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
kling-video-o3-std/reference-to-video,kling-video-o3-std/reference-to-video,video,,,False,False,excluded_no_2k,"{""currency"":""CNY"",""unit"":""/秒"",""pricing_type"":""parameter_based"",""depends_on"":[""sound""],""rules"":[{""when"":{""sound"":""false""},""price"":0.54},{""when"":{""sound"":""true""},""price"":0.72}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
kling-video-o3-pro/reference-to-video,kling-video-o3-pro/reference-to-video,video,,,False,False,excluded_no_2k,"{""currency"":""CNY"",""unit"":""/秒"",""pricing_type"":""parameter_based"",""depends_on"":[""sound""],""rules"":[{""when"":{""sound"":""false""},""price"":0.72},{""when"":{""sound"":""true""},""price"":0.9}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
hitem3d-v15/image-to-3d,hitem3d-v15/image-to-3d,3d,512|1024|1536|1536pro,,False,False,not_video,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""parameter_based"",""depends_on"":[""resolution"",""requestType""],""rules"":[{""when"":{""resolution"":""1024"",""requestType"":""both""},""price"":2.8},{""when"":{""resolution"":""1024"",""requestType"":""mesh""},""price"":1.4},{""when"":{""resolution"":""1536pro"",""requestType"":""both""},""price"":9.8},{""when"":{""resolution"":""1536pro"",""requestType"":""mesh""},""price"":8.4},{""when"":{""resolution"":""1536"",""requestType"":""both""},""price"":7.0},{""when"":{""resolution"":""1536"",""requestType"":""mesh""},""price"":5.6},{""when"":{""resolution"":""512"",""requestType"":""both""},""price"":2.1},{""when"":{""resolution"":""512"",""requestType"":""mesh""},""price"":0.7}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
hitem3d-v2/image-to-3d,hitem3d-v2/image-to-3d,3d,1536|1536pro,,False,False,not_video,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""parameter_based"",""depends_on"":[""resolution"",""requestType""],""rules"":[{""when"":{""resolution"":""1536pro"",""requestType"":""both""},""price"":12.6},{""when"":{""resolution"":""1536pro"",""requestType"":""mesh""},""price"":8.4},{""when"":{""resolution"":""1536"",""requestType"":""both""},""price"":9.8},{""when"":{""resolution"":""1536"",""requestType"":""mesh""},""price"":5.6}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
hitem3d-v15/multi-image-to-3d,hitem3d-v15/multi-image-to-3d,3d,512|1024|1536|1536pro,,False,False,not_video,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""parameter_based"",""depends_on"":[""resolution"",""requestType""],""rules"":[{""when"":{""resolution"":""1024"",""requestType"":""both""},""price"":2.8},{""when"":{""resolution"":""1024"",""requestType"":""mesh""},""price"":1.4},{""when"":{""resolution"":""1536pro"",""requestType"":""both""},""price"":9.8},{""when"":{""resolution"":""1536pro"",""requestType"":""mesh""},""price"":8.4},{""when"":{""resolution"":""1536"",""requestType"":""both""},""price"":7.0},{""when"":{""resolution"":""1536"",""requestType"":""mesh""},""price"":5.6},{""when"":{""resolution"":""512"",""requestType"":""both""},""price"":2.1},{""when"":{""resolution"":""512"",""requestType"":""mesh""},""price"":0.7}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
hitem3d-v2/multi-image-to-3d,hitem3d-v2/multi-image-to-3d,3d,1536|1536pro,,False,False,not_video,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""parameter_based"",""depends_on"":[""resolution"",""requestType""],""rules"":[{""when"":{""resolution"":""1536pro"",""requestType"":""both""},""price"":12.6},{""when"":{""resolution"":""1536pro"",""requestType"":""mesh""},""price"":8.4},{""when"":{""resolution"":""1536"",""requestType"":""both""},""price"":9.8},{""when"":{""resolution"":""1536"",""requestType"":""mesh""},""price"":5.6}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
hitem3d-portrait-v21/image-to-3d,hitem3d-portrait-v21/image-to-3d,3d,1536pro,,False,False,not_video,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""parameter_based"",""depends_on"":[""resolution"",""requestType""],""rules"":[{""when"":{""resolution"":""1536pro"",""requestType"":""both""},""price"":9.8},{""when"":{""resolution"":""1536pro"",""requestType"":""mesh""},""price"":5.6}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
