endpoint,sku_id,name,category,output_type,resolutions,explicit_2k,classification,presence,upstream_updated_at,retrieved_at,source_url
kling-v2.6-pro/text-to-video,2013088838681161729,可灵文生视频2.6-pro,text-to-video,video,,False,excluded_no_2k,in_both,2026-07-27 10:27:11,2026-09-21T07:31:58.910038+00:00,https://www.runninghub.cn/call-api/api-detail/2013088838681161729
kling-v2.6-std/image-to-video,2062456977399050241,可灵图生视频2.6-标准版,image-to-video,video,,False,excluded_no_2k,in_both,2026-07-27 10:37:39,2026-09-21T07:32:38.763306+00:00,https://www.runninghub.cn/call-api/api-detail/2062456977399050241
kling-v2.6-std/motion-control,2021500676489891841,kling-v2.6-std-动作控制,motion-control,video,,False,excluded_no_2k,in_both,2026-07-27 10:28:57,2026-09-21T07:32:08.820695+00:00,https://www.runninghub.cn/call-api/api-detail/2021500676489891841
kling-v2.6-std/text-to-video,2062830229040459778,可灵文生视频2.6-标准版,text-to-video,video,,False,excluded_no_2k,in_both,2026-07-27 10:37:48,2026-09-21T07:32:38.952422+00:00,https://www.runninghub.cn/call-api/api-detail/2062830229040459778
kling-v3-4k/image-to-video,2047563851324841986,可灵图生视频v3-4k,image-to-video,video,,False,excluded_no_2k,in_both,2026-07-27 10:41:13,2026-09-21T07:32:29.977999+00:00,https://www.runninghub.cn/call-api/api-detail/2047563851324841986
kling-v3-4k/text-to-video,2047563851324841987,可灵文生视频v3-4k,text-to-video,video,,False,excluded_no_2k,in_both,2026-07-27 10:41:21,2026-09-21T07:32:30.034299+00:00,https://www.runninghub.cn/call-api/api-detail/2047563851324841987
kling-v3-turbo-pro/image-to-video,2133000000000504058,可灵图生视频v3-turbo-pro,image-to-video,video,,False,excluded_no_2k,in_both,2026-07-30 18:12:50,2026-09-21T07:32:44.605994+00:00,https://www.runninghub.cn/call-api/api-detail/2133000000000504058
kling-v3-turbo-pro/text-to-video,2133000000000504056,可灵文生视频v3-turbo-pro,text-to-video,video,,False,excluded_no_2k,in_both,2026-07-30 18:12:50,2026-09-21T07:32:43.982753+00:00,https://www.runninghub.cn/call-api/api-detail/2133000000000504056
kling-v3-turbo-std/image-to-video,2133000000000504057,可灵图生视频v3-turbo-std,image-to-video,video,,False,excluded_no_2k,in_both,2026-07-30 18:12:50,2026-09-21T07:32:44.531171+00:00,https://www.runninghub.cn/call-api/api-detail/2133000000000504057
kling-v3-turbo-std/text-to-video,2069321552501190658,可灵文生视频v3-turbo-std,text-to-video,video,,False,excluded_no_2k,in_both,2026-07-30 18:12:50,2026-09-21T07:32:40.159222+00:00,https://www.runninghub.cn/call-api/api-detail/2069321552501190658
